requirement_id,statement,stage_id,task_id,evidence_ids,acceptance,status
REQ-001,근거 장부와 실행 통제 고정의 근거·실패·복구·인계를 확인,STAGE-1-BASELINE,T1-001,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-002,서비스·URL·파일·검사 기준선 목록화의 근거·실패·복구·인계를 확인,STAGE-1-BASELINE,T1-002,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-003,범위·위험·출시 차단선 판정의 근거·실패·복구·인계를 확인,STAGE-1-BASELINE,T1-003,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-004,데이터 구조·저장·호환 계약의 근거·실패·복구·인계를 확인,STAGE-2-FOUNDATION,T2-001,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-005,권한·자료 권리·개인정보 경계의 근거·실패·복구·인계를 확인,STAGE-2-FOUNDATION,T2-002,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-006,접근성·지원·관측 공통 바닥의 근거·실패·복구·인계를 확인,STAGE-2-FOUNDATION,T2-003,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-007,사전 기록·봉인·결과·복기 흐름의 근거·실패·복구·인계를 확인,STAGE-3-CORE,T3-001,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-008,분석·보정·학습 설명 흐름의 근거·실패·복구·인계를 확인,STAGE-3-CORE,T3-002,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-009,내보내기·이사·동기화 경계의 근거·실패·복구·인계를 확인,STAGE-3-CORE,T3-003,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
REQ-010,PC·모바일·Android·보조기술 품질의 근거·실패·복구·인계를 확인,STAGE-4-QUALITY,T4-001,"E-001,E-002,E-003",계약·시험·증거 경로가 있고 미확인은 U 또는 BLOCKED_EXTERNAL,PLANNED
