domain_id,rank,domain,search_term,umametry_relevance,screening_status,evidence_id,next_action,note
DOM-001,1,전자상거래 종합몰,online marketplace,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-002,2,식료품 배달,grocery delivery,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-003,3,음식 배달,food delivery,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-004,4,패션 쇼핑,fashion commerce,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-005,5,뷰티 쇼핑,beauty commerce,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-006,6,생활용품 쇼핑,home goods commerce,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-007,7,중고 거래,peer-to-peer resale,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-008,8,리셀·한정판,resale marketplace,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-009,9,가격 비교,price comparison,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-010,10,구독 상거래,subscription commerce,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-011,11,온라인 결제,payment gateway,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-012,12,디지털 지갑,digital wallet,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-013,13,개인 송금,P2P transfer,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-014,14,해외 송금,remittance,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-015,15,개인 자산관리,personal finance,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-016,16,예산 관리,budgeting app,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-017,17,신용 관리,credit monitoring,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-018,18,대출 비교,loan marketplace,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-019,19,보험 비교,insurance marketplace,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-020,20,세금 신고,tax filing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-021,21,주식 투자,stock investing,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-022,22,암호자산 거래,crypto exchange,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-023,23,로보어드바이저,robo advisor,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-024,24,부동산 투자,real estate investing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-025,25,기업 자금관리,treasury management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-026,26,회계 SaaS,accounting software,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-027,27,청구·인보이스,invoicing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
